"";"name";"address";"city";"postal_code";"zone";"food";"food_sample";"ambient";"keywords";"menu";"target";"score";"opinions_count";"price";"opinions_count_log";"weekly_hours";"open_lunch";"open_dinner";"open_weekend";"latitude";"longitude";"dist_centre_km";"renda_mitjana_bruta"
"1";"RESTAURANTE EL GALLEGO";"Carrer de Marià Cubí, 90";"Barcelona";"08021";"St Gervasi-Santaló";"De mercado, Gallega, Marisquería, Mediterránea";"Pulpo a la gallega. Navajas con ajo y perejil. Gambas. El 'picantó'. Arroces. Solomillo de ternera. Tarta de Santiago.";"Informal, Tradicional, Bien calidad-precio.";"Unknown";"Menú noche";"Para amigos, Para grupos.";8,75226495726496;14;30;2,70805020110221;52;TRUE;TRUE;TRUE;41,397166;2,1477101;2,18562245049136;106734
"2";"RESTAURANTE TACOS 99";"Avinguda del Paral·lel, 99";"Barcelona";"08004";"Sant Antoni";"Latina, Mexicana";"Tacos de barbacoa de cordero. Taco de surdero. Taco de cochinita. Taco de pollo marinado. Taco campechano. Taco de cárnitas. Taco de patata con chorizo. Taco dorado de pollo. Taco de pescado rebozado. Taco de carne asada. Tacos de pastor. Quesadilla de champiñones. Quesadilla de tinga de ternera. Quesadilla gringa. Quesadilla de patata. Quesadilla de chorizo.";"Informal, Bien calidad-precio, Actual.";"Terraza, Comida para llevar, Abierto en domingo, Comida a domicilio, Ticket restaurant, Ticket restaurant (tarjeta).";"Carta a precio fijo";"Para amigos, Para jóvenes.";8,75226495726496;483;20;6,18208490671663;51;TRUE;TRUE;TRUE;41,3748038;2,1634296;1,46754992567804;32123
"3";"RESTAURANTE 71 OYSTER BAR";"Carrer d' Enric Granados, 71";"Barcelona";"08008";"Centro, Eixample Esquerre";"Pescados, Marisquería";"Ostras tipo Claire y Utah con salsas (a elegir) de mignonette, acevichada con ajó amarillo, ponzu y esféricos de lima, Bloody Mary, pisco con naranja sanguina y salsa picante. Ceviche de gambas con leche de tigre de naranja sanguina, jengibre, cebolla roja, edamame y nabo daikon. Tataki de lomo bajo con emulsión de soja y jengibre.";"Exclusivo, Con encanto, Moderno y fashion, Preferidos, Están de moda.";"AfterWork, Gastrobar, Abierto en domingo, Después medianoche.";"Unknown";"Para amigos, Para cenas empresa, Para grupos, Para negocios.";10;58;42,5;4,07753744390572;43;FALSE;TRUE;TRUE;41,3912324;2,1576355;1,14264178594629;70245
"4";"RESTAURANTE MICU MAKU SAGRADA FAMILIA";"Carrer de los Castillejos, 208";"Barcelona";"08013";"Eixample Dret";"Ensaladas, Tapas, Hamburguesas, Mediterránea, Paella. Arroces";"Patatas bravas. Gambas a la plancha. Calamares a la romana. Ensalada César. Ensalada caprese con mozzarella y albahaca. Wok de verduras con queso de cabra. Pasta con salsa napolitana. Paella de marisco. Arroz negro. Muslo de pollo con patatas. Hamburguesa de ternera (200g) con patatas fritas.";"Informal, Bien calidad-precio, Actual.";"Terraza, Cocina Non Stop, Apto para mascotas, Comida para llevar, Abierto en domingo, Acceso movilidad reducida, Incorporación.";"Carta a precio fijo";"Para amigos, Para grupos, Para jóvenes, Para familias.";10;168;30;5,12989871492307;82,25;TRUE;TRUE;TRUE;41,4038564;2,1819478;2,12130396348092;40008
"5";"RESTAURANTE ALGRANO BISTRO";"Carrer de Tamarit, 104";"Barcelona";"08015";"Sant Antoni";"Italiana, Mediterránea";"Tartar de ternera Fassona del Piemonte con salsa de trufa y pan Carasau. Focaccia con romero y olivada. Ravioli ossobuco pasta al huevo rellena de ossobuco con salsa de carne y azafrán. Arancino frito de pasta y trufa.  Mortadella con pistacho y focaccia. Porchetta con vinagreta de mostaza, miel y verduras encurtidas.";"Informal, Bien calidad-precio, Actual.";"Terraza, Comida para llevar, Abierto en domingo, Comida a domicilio, Acceso movilidad reducida.";"Menú noche";"Para amigos, Para jóvenes, Para familias.";10;78;30;4,36944785246702;50;TRUE;TRUE;TRUE;41,376315;2,1581093;1,55494379220932;40775
"6";"RESTAURANTE ÂME";"Carrer de Londres, 91";"Barcelona";"08036";"Eixample Esquerre";"Unknown";"Foie gras. Sashimi de escalopa. Salmón. Pudding. Setas del montseny. Tabla de quesos. Arroz meloso. Pato";"Romántico.";"Acceso movilidad reducida, Ticket restaurant (tarjeta).";"Menú degustación";"Para cenas empresa, Para negocios.";10;460;60;6,13339804299665;20;FALSE;TRUE;TRUE;41,3930241;2,1499756;1,80953248978298;53717
"7";"RESTAURANTE DA NANNI PIZZERIA";"Carrer de la Llibreteria, 10";"Barcelona";"08002";"El Gòtic";"Italiana, Italiana. Pizzería.";"Pizza Margarita. Pizza Napolitana. Pizza Diavola. Pizza de jamón dulce. Pizza vegetariana. Pizza 4 quesos. Pizza de jamón y champiñones. Calzone con jamón. Calzone Napoli (Próvola ahumada, friarielli, salami dulce y ricotta). Espaguetti Carbonara. Rigatoni a la norma (Tomate fresco, berenjena frita y ricotta salada). Albóndigas de ternera con salsa de ragú napolitano y parmesano.";"Informal, Bien calidad-precio, Actual.";"Cocina Non Stop, Comida para llevar, Abierto en domingo, Comida a domicilio, Acceso movilidad reducida.";"Carta a precio fijo";"Para amigos, Para jóvenes, Para familias.";10;2143;20;7,67042852219069;73,5;TRUE;TRUE;TRUE;41,3831626;2,1773855;0,743467999520308;33754
"8";"RESTAURANTE SCAPAR";"Carrer del Rector Ubach, 53";"Barcelona";"08021";"St Gervasi-Santaló";"Japonesa";"Raviolis de trufa con crema de parmesano, tataki de atún con sésamo, pulpo a la brasa con puré de boniato, arroz de setas y foie, steak tartar con huevo de codorniz, cheesecake casero con frutos rojos, coulant de chocolate con helado de vainilla.";"Exótico.";"Abierto en domingo.";"Unknown";"Unknown";10;247;60;5,51342874616498;35;TRUE;TRUE;TRUE;41,3968735;2,1419235;2,59712545219297;106734
"9";"RESTAURANTE CHAMBACÚ";"Carrer de Muntaner, 185";"Barcelona";"08036";"Eixample Esquerre";"Colombiana, Latina";"Sancocho de gallina - Pescado a la talla, tamal y emulsión de limón - Costilla asada con tamarindo, crujiente y cremoso de yuca - Bolinho de Mandioca, aji criollo - Trilogia de Maiz, Arepa Cachapa y Pupusa - Ostra, Aguachile Ahumado y Pepino - Pan de Platano y Helado de Armañac";"De ambiente, Exótico, Con encanto, Romántico.";"Bodega bar, Música y copas, Terraza, Acceso movilidad reducida, Ticket restaurant (tarjeta).";"Unknown";"Para amigos, Para negocios, Para ir con niños, Para familias.";10;86;60;4,46590811865458;30;TRUE;TRUE;TRUE;41,3926494;2,1512517;1,69509416851844;53717
"10";"RESTAURANTE JARA SUSHI";"Carrer de Pàdua, 84";"Barcelona";"08006";"St Gervasi-Santaló";"Japonesa";"Endamame al vapor. Roll de alga Nori, nabo daikon, pepino,aguacate y salsa sésamo. Futomkai de atún picante, aguacate y cebollino. Futomaki de salmón, cangrejo, pepino, kampyo y tobiko. Nigiris de salmón, atún y hamachi. Maki de atún y aguacate. Shashimi de atún, salmón y hamachi. Roll de langostin sabor de boca difícil de superar.nos, salmón y wagyu.";"Informal, Bien calidad-precio, Actual, Preferidos.";"Comida para llevar, Abierto en domingo, Comida a domicilio.";"Unknown";"Para amigos.";9,9;531;42,5;6,27664348934164;27,5;TRUE;TRUE;TRUE;41,404598;2,1442698;2,91382644638434;62977
"11";"RESTAURANTE BLAVIS";"Carrer de Saragossa, 85";"Barcelona";"08006";"St Gervasi-Santaló";"De mercado, Mediterránea, Tradicional";"Calamares con Ponzu. Patata enmascarada con setas y rebozuelos y  ""la mejor salsa de mundo "". Tiradito Acebichado. Tataki de salmón. Mejillones roca marinera. Ensalada de huevo poche con espárragos. Arroz campesino con setas, alcachofas y botín.";"Informal, Bien calidad-precio, Actual.";"Unknown";"Unknown";"Para amigos, Para grupos, Para jóvenes, Para familias.";9,9;1448;42,5;7,27862894232068;17,5;FALSE;TRUE;TRUE;41,4033158;2,1471972;2,63756601913634;62977
